yrs,p17,p83,p50,p50_0.5_pattern
1971,0,0,0,0
1972,-6.567806724,-3.193818521,-4.77559483,-6.97514477
1973,-16.44288712,-8.382754535,-12.29072399,-17.77077252
1974,-21.1223109,-10.55638787,-15.60602074,-22.68873415
1975,-27.20426311,-13.50204497,-20.03049,-29.12954563
1976,-30.81538605,-15.43912866,-22.82187716,-33.11242402
1977,-42.04322094,-21.1457669,-31.19909065,-45.24388497
1978,-50.71174896,-25.48148595,-37.62999722,-54.57009619
1979,-61.41545347,-31.07920787,-45.73548251,-66.22065719
1980,-74.77127956,-37.91162431,-55.75860841,-80.67646792
1981,-89.16879933,-45.3726011,-66.65805333,-96.33452854
1982,-98.89351113,-50.43573798,-74.03774806,-106.916423
1983,-112.9157754,-57.74912461,-84.65322609,-122.1737336
1984,-122.9398984,-62.95330195,-92.27039976,-133.1029447
1985,-132.8683243,-68.02583625,-99.68059614,-143.8184225
1986,-143.7488885,-73.57733939,-107.846014,-155.6025668
1987,-158.0055899,-80.92860519,-118.6023928,-171.0736107
1988,-173.5005761,-89.07593976,-130.4056497,-188.0140712
1989,-186.3492178,-95.80163745,-140.1290248,-202.0156987
1990,-203.5176108,-104.6869758,-153.0825222,-220.6927424
1991,-220.1901341,-113.2666552,-165.6172883,-238.7553028
1992,-231.9044694,-119.2489387,-174.399676,-251.421097
1993,-244.7903402,-125.7923523,-184.0404084,-265.3425745
1994,-258.9863924,-133.0999355,-194.7170466,-280.7334684
1995,-276.8379391,-142.3361798,-208.1813231,-300.131862
1996,-292.0070319,-150.0651541,-219.5639163,-316.5379893
1997,-310.6718135,-159.7127045,-233.6354068,-336.8180328
1998,-332.8495196,-171.1794547,-250.3848075,-360.8918426
1999,-349.2023243,-179.6221263,-262.730568,-378.6872364
2000,-365.6044869,-188.0946593,-275.130685,-396.5627801
2001,-385.518136,-198.3945912,-290.1812061,-418.2320902
2002,-407.2290881,-209.5928363,-306.5438431,-441.7715667
2003,-428.7755028,-220.8398292,-322.8801802,-465.2576099
2004,-448.5377545,-231.0905104,-337.8046584,-486.7399034
2005,-471.6523992,-243.1637418,-355.4594177,-511.9625297
2006,-493.8579879,-254.6781655,-372.3208768,-536.1164896
2007,-516.4771317,-266.4304704,-389.4253976,-560.7246327
2008,-536.0021487,-276.6058794,-404.2291369,-581.9931928
2009,-558.7661537,-288.4087805,-421.4311724,-606.7349192
2010,-583.2959477,-301.0651017,-439.9820402,-633.3468121
2011,-604.9072144,-312.307928,-456.3248164,-656.8862887
2012,-627.1695808,-323.8710751,-473.2026764,-681.0936818
2013,-650.2876289,-335.778111,-490.5929018,-706.1025749
2014,-674.9439578,-348.728247,-509.2694705,-732.9816345
2015,-703.107849,-363.4159824,-530.7567846,-763.681177
2016,-734.0156163,-379.6725677,-554.3137529,-797.453136
2017,-762.860233,-394.8634598,-576.326554,-828.9541784
2018,-789.8309611,-409.0450007,-596.8217599,-858.3713211
