ocean_0-700m,ocean_0-700m_error,ocean_700-2000m,ocean_700-2000m_error,ocean_>2000m,ocean_>2000m_error,ocean_full-depth_error,yrs,ocean_full-depth,antarctica,antarctica_error,greenland,greenland_error,glaciers,glaciers_error,seaice,seaice_error,iceshelf,iceshelf_error,cryosphere,cryosphere_error,atmosphere,atmosphere_error,land,land_error,Total,Total_error,units,error_units,pi_total
0,46.64800694,0,12.66052036,0,0,59.3085273,1971.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590708852,0,0,0,59.31146894,ZJ,ZJ (1-sigma),0
9.797771852,46.45350845,-0.277343333,13.19641664,0,0,59.64992509,1972.5,9.520428519,0.014104319,0.0545823,-0.002287566,0.01837523,0.025238042,0.041806309,0,0,0,0,0.037054795,0.071166313,1.781443551,0.590708852,0.25241375,0.068386793,11.59134061,59.65293154,ZJ,ZJ (1-sigma),3.2188752
4.506010786,50.21640899,-3.91048,14.89831176,0,0,65.11472076,1973.5,0.595530786,0.026014091,0.090087109,-0.029632814,0.036580803,0.037596042,0.069692941,0,0,0,0,0.033977319,0.119628376,2.932097018,0.590708852,0.521130323,0.134844482,4.082735446,65.11764961,ZJ,ZJ (1-sigma),6.4377504
11.58355105,52.33651178,1.63575,15.1188077,0,0,67.45531948,1974.5,13.21930105,0.033438243,0.124764431,-0.054254292,0.048872072,0.061987728,0.097566017,0,0,0,0,0.041171679,0.165752135,0.068293333,0.590708852,0.810854912,0.200013459,14.13962097,67.45840601,ZJ,ZJ (1-sigma),9.6566256
4.467820694,53.69238311,4.517913333,15.2855536,0,0,68.97793671,1975.5,8.985734027,0.037125102,0.159806412,-0.048974086,0.060058698,0.087634753,0.125240184,0,0,0,0,0.075785769,0.211731528,0.714955091,0.590708852,1.108665466,0.263551772,10.88514035,68.98129442,ZJ,ZJ (1-sigma),12.8755008
19.04131872,53.90851923,7.8685,15.08766757,0,0,68.9961868,1976.5,26.90981872,0.039496836,0.19437064,-0.047010333,0.070697154,0.097811399,0.151282998,0,0,0,0,0.090297902,0.256251007,0.028794408,0.590708852,1.415738106,0.32624656,28.44464914,68.99996255,ZJ,ZJ (1-sigma),16.094376
18.14814369,52.9025523,6.285167333,14.37583903,0,0,67.27839133,1977.5,24.43331103,0.041453575,0.227725768,-0.070620292,0.080867935,0.129799748,0.175817452,0,0,0,0,0.100633031,0.298848498,2.481823862,0.590708852,1.753030539,0.387859643,28.76879846,67.28276616,ZJ,ZJ (1-sigma),19.3132512
35.06202277,49.14090462,4.770844,12.51466948,0,0,61.6555741,1978.5,39.83286677,0.038064477,0.260702329,-0.090003648,0.090829827,0.183995757,0.200232132,0,0,0,0,0.132056586,0.341040568,2.182337061,0.590708852,2.089169502,0.448041499,44.23642992,61.66097473,ZJ,ZJ (1-sigma),22.5321264
46.83163052,48.21411076,7.726577333,10.16464108,0,0,58.37875184,1979.5,54.55820785,0.034155508,0.301710565,-0.092520004,0.100554778,0.243682893,0.224542468,0,0.5513004,0,0.5513004,0.185318397,0.674901459,2.820046604,0.393805921,2.429516315,0.508538902,59.99308917,58.38619574,ZJ,ZJ (1-sigma),25.7510016
65.29791081,47.64679072,9.711603333,9.248468108,0,0,56.89525883,1980.5,75.00951414,0.003819958,0.335600986,-0.081925023,0.110513319,0.294116559,0.248685743,0.227668605,0.5513004,0.227668605,0.5513004,0.467060099,0.70044573,3.630357504,0.275664151,2.780636311,0.568782032,81.88756806,56.90308081,ZJ,ZJ (1-sigma),28.9698768
