e_yrs,atmosphere,land,cryosphere,ocean_>2000m,ocean_700-2000m,ocean_0-700m,Total
1971.5,0,0,0,0,0,0,0
1972.5,1.781443551,0.25241375,0.037054795,0,-0.277343333,9.797771852,11.59134061
1973.5,2.932097018,0.521130323,0.033977319,0,-3.91048,4.506010786,4.082735446
1974.5,0.068293333,0.810854912,0.041171679,0,1.63575,11.58355105,14.13962097
1975.5,0.714955091,1.108665466,0.075785769,0,4.517913333,4.467820694,10.88514035
1976.5,0.028794408,1.415738106,0.090297902,0,7.8685,19.04131872,28.44464914
1977.5,2.481823862,1.753030539,0.100633031,0,6.285167333,18.14814369,28.76879846
1978.5,2.182337061,2.089169502,0.132056586,0,4.770844,35.06202277,44.23642992
1979.5,2.820046604,2.429516315,0.185318397,0,7.726577333,46.83163052,59.99308917
1980.5,3.630357504,2.780636311,0.467060099,0,9.711603333,65.29791081,81.88756806
1981.5,2.930471361,3.148908615,1.320198586,0,8.938816667,74.64609293,90.98448816
1982.5,2.674796581,3.517572403,1.634049926,0,6.20411,64.08438878,78.11491769
1983.5,3.64420855,3.8729496,1.24425822,0,6.135426667,50.99475334,65.89159638
1984.5,1.336773217,4.229993343,1.399303237,0,11.22593333,41.01339966,59.20540279
1985.5,1.029433072,4.601017952,1.407530322,0,16.17874,48.06045178,71.27717313
1986.5,1.798401639,4.97348547,1.263114295,0,16.68459667,57.60531602,82.32491409
1987.5,3.769722819,5.354301929,1.260833877,0,17.84279667,76.87879455,105.1064498
1988.5,3.850827098,5.770528793,1.552272718,0,17.87403,88.41935371,117.4670123
1989.5,2.227074474,6.21215868,1.813193827,0,20.06316667,97.63987511,127.9554688
1990.5,3.873925805,6.670398235,2.198842658,0,21.1071,100.4174994,134.2677661
1991.5,4.008867145,7.150303364,2.284283587,0,26.3431,92.8909572,132.6775113
1992.5,2.488442004,7.638242245,2.246258289,1.15,33.90753333,93.4011935,140.8316694
1993.5,1.851310611,8.146426678,2.66958614,2.3,40.51463333,90.1382514,145.6202082
1994.5,2.407953054,8.607337475,2.733585881,3.45,37.5866,90.50029917,145.2857756
1995.5,2.866488576,9.08494997,3.51456588,4.6,36.571,97.64103374,154.2780382
1996.5,2.199842662,9.551823139,3.415988531,5.75,37.94046667,107.3197735,166.1778945
1997.5,2.984624147,10.01989603,3.374502649,6.9,37.86623333,107.3728969,168.518153
1998.5,5.732217669,10.48619509,3.701374351,8.05,38.7715,97.81228373,164.5535708
1999.5,2.225128472,10.97479963,4.041386685,9.2,36.40756667,96.6356736,159.4845551
2000.5,1.841692403,11.4670701,4.453700475,10.35,42.59116667,103.7477743,174.451404
2001.5,3.220137119,11.96803617,4.54040843,11.5,46.4206,125.9912667,203.6404484
2002.5,4.139154077,12.4776969,4.931407066,12.65,54.67156667,135.5353272,224.4051519
2003.5,3.926837087,12.99605322,5.386917676,13.8,60.3135,153.6745124,250.0978204
2004.5,3.587024689,13.52310419,5.823065665,14.95,66.27313333,156.0907097,260.2470376
2005.5,4.302939296,14.05885172,6.280136059,16.1,70.84996667,163.6560775,275.2479712
2006.5,3.983537555,14.60329294,6.774429108,17.25,73.63056667,166.2278782,282.4697044
2007.5,3.915680051,15.15643167,7.622808191,18.4,75.64616667,174.0257752,294.7668618
2008.5,2.579224467,15.7182641,7.601666765,19.55,76.9385,182.064906,304.4525614
2009.5,4.062604547,16.28879213,8.06756211,20.7,80.37533333,187.3939804,316.8882726
2010.5,5.808587909,16.86801577,8.887811571,21.85,84.94793333,190.785827,329.1481756
2011.5,3.367365718,17.45593309,9.482933982,23,89.7207,193.9456135,336.9725463
2012.5,3.881526709,18.05254793,9.879044425,24.15,97.04813333,201.7917496,354.803002
2013.5,4.658410192,18.65785646,9.942263671,25.3,103.5261,206.2807496,368.36538
2014.5,4.866319776,19.2718606,9.98219793,26.45,110.0935333,213.9663117,384.6302234
2015.5,5.980975509,19.89456034,10.24561264,27.6,113.0288667,219.8111298,396.5611449
2016.5,7.404185653,20.52595568,11.05893127,28.75,117.1278667,229.3058914,414.1728307
2017.5,6.389283538,21.16604662,11.5281146,29.9,118.8945333,232.5592563,420.4372344
2018.5,5.631383777,21.81483126,11.49081282,31.05,123.2848667,241.6168239,434.8887185
